22984 INFO  [2016-03-07 03:08:01]  Mapped "{[/user/mLogin],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.pgt.user.controller.UserController.mobileLogin(com.pgt.user.bean.User)
22984 INFO  [2016-03-07 03:08:01]  Mapped "{[/user/mRegister],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.pgt.user.controller.UserController.mobileRegister(com.pgt.user.bean.User)
22984 INFO  [2016-03-07 03:08:01]  Mapped "{[/user/resetPassword],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserController.resetPassword(javax.servlet.http.HttpServletRequest,org.springframework.web.servlet.ModelAndView)
22984 INFO  [2016-03-07 03:08:01]  Mapped "{[/user/resetPassword],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserController.resetPassword(com.pgt.user.bean.User,org.springframework.validation.BindingResult,org.springframework.web.servlet.ModelAndView,javax.servlet.http.HttpServletRequest)
22985 DEBUG [2016-03-07 03:08:01]  Mapping name clash for handlerMethods=[public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserController.resetPassword(javax.servlet.http.HttpServletRequest,org.springframework.web.servlet.ModelAndView), public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserController.resetPassword(com.pgt.user.bean.User,org.springframework.validation.BindingResult,org.springframework.web.servlet.ModelAndView,javax.servlet.http.HttpServletRequest)]. Consider assigning explicit names.
22985 INFO  [2016-03-07 03:08:01]  Mapped "{[/user/updatePassword],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserController.updatePassword(org.springframework.web.servlet.ModelAndView,javax.servlet.http.HttpSession)
22985 INFO  [2016-03-07 03:08:01]  Mapped "{[/user/updatePasswordSubmit],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserController.updatePasswordSubmit(com.pgt.user.bean.User,org.springframework.validation.BindingResult,org.springframework.web.servlet.ModelAndView,javax.servlet.http.HttpSession,java.lang.String)
22985 INFO  [2016-03-07 03:08:01]  Mapped "{[/user/yeepayAccountInfo],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserController.yeepayAccountInfo(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
22985 INFO  [2016-03-07 03:08:01]  Mapped "{[/userinformation/create],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto private org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserInformationController.createUserInformation(org.springframework.web.servlet.ModelAndView,com.pgt.user.bean.UserInformation,org.springframework.validation.BindingResult,javax.servlet.http.HttpSession)
22986 INFO  [2016-03-07 03:08:01]  Mapped "{[/userinformation/query],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.pgt.user.controller.UserInformationController.queryUserInformation(org.springframework.web.servlet.ModelAndView,javax.servlet.http.HttpSession)
22986 DEBUG [2016-03-07 03:08:01]  Finished creating instance of bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0'
22987 DEBUG [2016-03-07 03:08:01]  Creating shared instance of singleton bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0'
22987 DEBUG [2016-03-07 03:08:01]  Creating instance of bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0'
23062 DEBUG [2016-03-07 03:08:01]  Eagerly caching bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0' to allow for resolving potential circular references
23073 DEBUG [2016-03-07 03:08:01]  Returning cached instance of singleton bean 'mvcContentNegotiationManager'
